Object Count,Block Material,X-Coordinate,Y-coordinate,Z-Coordinate
80,"Wool, Brown",-19,12,64
81,"Wool, Brown",-19,5,65
82,"Wool, Brown",-19,6,65
83,"Wool, Brown",-19,7,65
84,"Wool, Brown",-19,8,65
85,"Wool, Brown",-19,9,65
86,"Wool, Brown",-19,10,65
87,"Wool, Brown",-19,11,65
88,"Wool, Brown",-19,12,65
89,"Wool, Brown",-19,6,66
90,"Wool, Brown",-19,7,66
91,"Wool, Brown",-19,8,66
92,"Wool, Brown",-19,9,66
93,"Wool, Brown",-19,10,66
94,"Wool, Brown",-19,11,66
95,"Wool, Brown",-19,7,67
96,"Wool, Brown",-19,8,67
97,"Wool, Brown",-19,9,67
98,"Wool, Brown",-19,10,67
99,"Wool, Brown",-19,7,68
100,"Wool, Brown",-19,8,68
101,"Wool, Brown",-19,9,68
102,"Wool, Brown",-18,7,61
103,"Wool, Brown",-18,7,61
104,"Wool, Brown",-18,7,61
105,"Wool, Brown",-18,8,61
106,"Wool, Brown",-18,9,61
107,"Wool, Brown",-18,10,61
108,"Wool, Brown",-18,5,62
109,"Wool, Brown",-18,6,62
110,"Wool, Brown",-18,7,62
111,"Wool, Brown",-18,8,62
112,"Wool, Brown",-18,9,62
113,"Wool, Brown",-18,10,62
114,"Wool, Brown",-18,11,62
115,"Wool, Brown",-18,12,62
116,"Wool, Brown",-18,5,63
117,"Wool, Brown",-18,6,63
118,"Wool, Brown",-18,7,63
119,"Wool, Brown",-18,8,63
120,"Wool, Brown",-18,9,63
121,"Wool, Brown",-18,10,63
122,"Wool, Brown",-18,11,63
123,"Wool, Brown",-18,12,63
124,"Wool, Brown",-18,5,64
125,"Wool, Brown",-18,6,64
126,"Wool, Brown",-18,7,64
127,"Wool, Brown",-18,8,64
128,"Wool, Brown",-18,9,64
129,"Wool, Brown",-18,10,64
130,"Wool, Brown",-18,11,64
131,"Wool, Brown",-18,12,64
132,"Wool, Brown",-18,5,65
133,"Wool, Brown",-18,6,65
134,"Wool, Brown",-18,7,65
135,"Wool, Brown",-18,8,65
136,"Wool, Brown",-18,9,65
137,"Wool, Brown",-18,10,65
138,"Wool, Brown",-18,11,65
139,"Wool, Brown",-18,12,65
140,"Wool, Brown",-18,6,66
141,"Wool, Brown",-18,7,66
142,"Wool, Brown",-18,8,66
143,"Wool, Brown",-18,9,66
144,"Wool, Brown",-18,10,66
145,"Wool, Brown",-18,11,66
146,"Wool, Brown",-18,7,67
147,"Wool, Brown",-18,8,67
148,"Wool, Brown",-18,9,67
149,"Wool, Brown",-18,10,67
150,"Wool, Brown",-18,11,67
151,"Wool, Brown",-18,8,68
152,"Wool, Brown",-18,9,68
153,"Wool, Brown",-17,6,61
154,"Wool, Brown",-17,7,61
155,"Wool, Brown",-17,8,61
156,"Wool, Brown",-17,9,61
157,"Wool, Brown",-17,10,61
158,"Wool, Brown",-17,11,61
159,"Wool, Brown",-17,5,62
160,"Wool, Brown",-17,6,62
161,"Wool, Brown",-17,7,62
162,"Wool, Brown",-17,8,62
163,"Wool, Brown",-17,9,62
164,"Wool, Brown",-17,10,62
165,"Wool, Brown",-17,11,62
166,"Wool, Brown",-17,12,62
167,"Wool, Brown",-17,5,63
168,"Wool, Brown",-17,6,63
169,"Wool, Brown",-17,7,63
170,"Wool, Brown",-17,8,63
171,"Wool, Brown",-17,9,63
172,"Wool, Brown",-17,10,63
173,"Wool, Brown",-17,11,63
174,"Wool, Brown",-17,12,63
175,"Wool, Brown",-17,5,64
176,"Wool, Brown",-17,6,64
177,"Wool, Brown",-17,7,64
178,"Wool, Brown",-17,8,64
179,"Wool, Brown",-17,9,64
180,"Wool, Brown",-17,10,64
181,"Wool, Brown",-17,11,64
182,"Wool, Brown",-17,12,64
183,"Wool, Brown",-17,5,65
184,"Wool, Brown",-17,6,65
185,"Wool, Brown",-17,7,65
186,"Wool, Brown",-17,8,65
187,"Wool, Brown",-17,9,65
188,"Wool, Brown",-17,10,65
189,"Wool, Brown",-17,11,65
190,"Wool, Brown",-17,12,65
191,"Wool, Brown",-17,6,66
192,"Wool, Brown",-17,7,66
193,"Wool, Brown",-17,8,66
194,"Wool, Brown",-17,9,66
195,"Wool, Brown",-17,10,66
196,"Wool, Brown",-17,11,66
197,"Wool, Brown",-17,6,67
198,"Wool, Brown",-17,7,67
199,"Wool, Brown",-17,8,67
200,"Wool, Brown",-17,9,67
201,"Wool, Brown",-17,10,67
202,"Wool, Brown",-17,11,67
203,"Wool, Brown",-17,8,68
204,"Wool, Brown",-17,9,68
205,"Wool, Brown",-16,5,61
206,"Wool, Brown",-16,6,61
207,"Wool, Brown",-16,7,61
208,"Wool, Brown",-16,8,61
209,"Wool, Brown",-16,9,61
210,"Wool, Brown",-16,10,61
211,"Wool, Brown",-16,11,61
212,"Wool, Brown",-16,12,61
213,"Wool, Brown",-16,5,62
214,"Wool, Brown",-16,6,62
215,"Wool, Brown",-16,7,62
216,"Wool, Brown",-16,8,62
217,"Wool, Brown",-16,9,62
218,"Wool, Brown",-16,10,62
219,"Wool, Brown",-16,11,62
220,"Wool, Brown",-16,12,62
221,"Wool, Brown",-16,5,63
222,"Wool, Brown",-16,6,63
223,"Wool, Brown",-16,7,63
224,"Wool, Brown",-16,8,63
225,"Wool, Brown",-16,9,63
226,"Wool, Brown",-16,10,63
227,"Wool, Brown",-16,11,63
228,"Wool, Brown",-16,12,63
229,"Wool, Brown",-16,5,64
230,"Wool, Brown",-16,6,64
231,"Wool, Brown",-16,7,64
232,"Wool, Brown",-16,8,64
233,"Wool, Brown",-16,9,64
234,"Wool, Brown",-16,10,64
235,"Wool, Brown",-16,11,64
236,"Wool, Brown",-16,12,64
237,"Wool, Brown",-16,5,65
238,"Wool, Brown",-16,6,65
239,"Wool, Brown",-16,7,65
240,"Wool, Brown",-16,8,65
241,"Wool, Brown",-16,9,65
242,"Wool, Brown",-16,10,65
243,"Wool, Brown",-16,11,65
244,"Wool, Brown",-16,12,65
245,"Wool, Brown",-16,6,66
246,"Wool, Brown",-16,7,66
247,"Wool, Brown",-16,8,66
248,"Wool, Brown",-16,9,66
249,"Wool, Brown",-16,10,66
250,"Wool, Brown",-16,11,66
251,"Wool, Brown",-16,12,66
252,"Wool, Brown",-16,6,67
253,"Wool, Brown",-16,7,67
254,"Wool, Brown",-16,8,67
255,"Wool, Brown",-16,9,67
256,"Wool, Brown",-16,10,67
257,"Wool, Brown",-16,11,67
258,"Wool, Brown",-16,8,68
259,"Wool, Brown",-16,9,68
260,"Wool, Brown",-15,9,60
261,"Wool, Brown",-15,5,61
262,"Wool, Brown",-15,6,61
263,"Wool, Brown",-15,7,61
264,"Wool, Brown",-15,8,61
265,"Wool, Brown",-15,9,61
266,"Wool, Brown",-15,10,61
267,"Wool, Brown",-15,11,61
268,"Wool, Brown",-15,12,61
269,"Wool, Brown",-15,5,62
270,"Wool, Brown",-15,6,62
271,"Wool, Brown",-15,7,62
272,"Wool, Brown",-15,8,62
273,"Wool, Brown",-15,9,62
274,"Wool, Brown",-15,10,62
275,"Wool, Brown",-15,11,62
276,"Wool, Brown",-15,12,62
277,"Wool, Brown",-15,5,63
278,"Wool, Brown",-15,6,63
279,"Wool, Brown",-15,7,63
280,"Wool, Brown",-15,8,63
281,"Wool, Brown",-15,9,63
282,"Wool, Brown",-15,10,63
283,"Wool, Brown",-15,11,63
284,"Wool, Brown",-15,12,63
285,"Wool, Brown",-15,5,64
286,"Wool, Brown",-15,6,64
287,"Wool, Brown",-15,7,64
288,"Wool, Brown",-15,8,64
289,"Wool, Brown",-15,9,64
290,"Wool, Brown",-15,10,64
291,"Wool, Brown",-15,11,64
292,"Wool, Brown",-15,12,64
293,"Wool, Brown",-15,13,64
294,"Wool, Brown",-15,5,65
295,"Wool, Brown",-15,6,65
296,"Wool, Brown",-15,7,65
297,"Wool, Brown",-15,8,65
298,"Wool, Brown",-15,9,65
299,"Wool, Brown",-15,10,65
300,"Wool, Brown",-15,11,65
301,"Wool, Brown",-15,12,65
302,"Wool, Brown",-15,5,66
303,"Wool, Brown",-15,6,66
304,"Wool, Brown",-15,7,66
305,"Wool, Brown",-15,8,66
306,"Wool, Brown",-15,9,66
307,"Wool, Brown",-15,10,66
308,"Wool, Brown",-15,11,66
309,"Wool, Brown",-15,12,66
310,"Wool, Brown",-15,6,67
311,"Wool, Brown",-15,7,67
312,"Wool, Brown",-15,8,67
313,"Wool, Brown",-15,9,67
314,"Wool, Brown",-15,10,67
315,"Wool, Brown",-15,11,67
316,"Wool, Brown",-15,12,67
317,"Wool, Brown",-15,7,68
318,"Wool, Brown",-15,8,68
319,"Wool, Brown",-15,9,68
320,"Wool, Brown",-15,10,68
321,"Wool, Brown",-15,9,69
322,"Wool, Brown",-14,8,60
323,"Wool, Brown",-14,9,60
324,"Wool, Brown",-14,10,60
325,"Wool, Brown",-14,5,61
326,"Wool, Brown",-14,6,61
327,"Wool, Brown",-14,7,61
328,"Wool, Brown",-14,8,61
329,"Wool, Brown",-14,9,61
330,"Wool, Brown",-14,10,61
331,"Wool, Brown",-14,11,61
332,"Wool, Brown",-14,12,61
333,"Wool, Brown",-14,5,62
334,"Wool, Brown",-14,6,62
335,"Wool, Brown",-14,7,62
336,"Wool, Brown",-14,8,62
337,"Wool, Brown",-14,9,62
338,"Wool, Brown",-14,10,62
339,"Wool, Brown",-14,11,62
340,"Wool, Brown",-14,12,62
341,"Wool, Brown",-14,13,62
342,"Wool, Brown",-14,5,63
343,"Wool, Brown",-14,6,63
344,"Wool, Brown",-14,7,63
345,"Wool, Brown",-14,8,63
346,"Wool, Brown",-14,9,63
347,"Wool, Brown",-14,10,63
348,"Wool, Brown",-14,11,63
349,"Wool, Brown",-14,12,63
350,"Wool, Brown",-14,13,63
351,"Wool, Brown",-14,5,64
352,"Wool, Brown",-14,6,64
353,"Wool, Brown",-14,7,64
354,"Wool, Brown",-14,8,64
355,"Wool, Brown",-14,9,64
356,"Wool, Brown",-14,10,64
357,"Wool, Brown",-14,11,64
358,"Wool, Brown",-14,12,64
359,"Wool, Brown",-14,13,64
360,"Wool, Brown",-14,4,65
361,"Wool, Brown",-14,5,65
362,"Wool, Brown",-14,6,65
363,"Wool, Brown",-14,7,65
364,"Wool, Brown",-14,8,65
365,"Wool, Brown",-14,9,65
366,"Wool, Brown",-14,10,65
367,"Wool, Brown",-14,11,65
368,"Wool, Brown",-14,12,65
369,"Wool, Brown",-14,13,65
370,"Wool, Brown",-14,4,66
371,"Wool, Brown",-14,5,66
372,"Wool, Brown",-14,6,66
373,"Wool, Brown",-14,7,66
374,"Wool, Brown",-14,8,66
375,"Wool, Brown",-14,9,66
376,"Wool, Brown",-14,10,66
377,"Wool, Brown",-14,11,66
378,"Wool, Brown",-14,12,66
379,"Wool, Brown",-14,13,66
380,"Wool, Brown",-14,5,67
381,"Wool, Brown",-14,6,67
382,"Wool, Brown",-14,7,67
383,"Wool, Brown",-14,8,67
384,"Wool, Brown",-14,9,67
385,"Wool, Brown",-14,10,67
386,"Wool, Brown",-14,11,67
387,"Wool, Brown",-14,12,67
388,"Wool, Brown",-14,13,67
389,"Wool, Brown",-14,14,67
390,"Wool, Brown",-14,14,68
391,"Wool, Brown",-14,5,71
392,"Wool, Brown",-14,6,71
393,"Wool, Brown",-14,7,71
394,"Wool, Brown",-14,8,71
395,"Wool, Brown",-14,9,71
396,"Wool, Brown",-14,10,71
397,"Wool, Brown",-14,11,71
398,"Wool, Brown",-14,12,71
399,"Wool, Brown",-14,13,71
400,"Wool, Brown",-14,14,71
401,"Wool, Brown",-13,8,59
402,"Wool, Brown",-13,9,59
403,"Wool, Brown",-13,6,60
404,"Wool, Brown",-13,7,60
405,"Wool, Brown",-13,8,60
406,"Wool, Brown",-13,9,60
407,"Wool, Brown",-13,10,60
408,"Wool, Brown",-13,11,60
409,"Wool, Brown",-13,12,60
410,"Wool, Brown",-13,5,61
411,"Wool, Brown",-13,6,61
412,"Wool, Brown",-13,7,61
413,"Wool, Brown",-13,8,61
414,"Wool, Brown",-13,9,61
415,"Wool, Brown",-13,10,61
416,"Wool, Brown",-13,11,61
417,"Wool, Brown",-13,12,61
418,"Wool, Brown",-13,13,61
419,"Wool, Brown",-13,5,62
420,"Wool, Brown",-13,6,62
421,"Wool, Brown",-13,7,62
422,"Wool, Brown",-13,8,62
423,"Wool, Brown",-13,9,62
424,"Wool, Brown",-13,10,62
425,"Wool, Brown",-13,11,62
426,"Wool, Brown",-13,12,62
427,"Wool, Brown",-13,13,62
428,"Wool, Brown",-13,5,63
429,"Wool, Brown",-13,6,63
430,"Wool, Brown",-13,7,63
431,"Wool, Brown",-13,8,63
432,"Wool, Brown",-13,9,63
433,"Wool, Brown",-13,10,63
434,"Wool, Brown",-13,11,63
435,"Wool, Brown",-13,12,63
436,"Wool, Brown",-13,13,63
437,"Wool, Brown",-13,4,64
438,"Wool, Brown",-13,5,64
439,"Wool, Brown",-13,6,64
440,"Wool, Brown",-13,7,64
441,"Wool, Brown",-13,8,64
442,"Wool, Brown",-13,9,64
443,"Wool, Brown",-13,10,64
444,"Wool, Brown",-13,11,64
445,"Wool, Brown",-13,12,64
446,"Wool, Brown",-13,13,64
447,"Wool, Brown",-13,4,65
448,"Wool, Brown",-13,5,65
449,"Wool, Brown",-13,6,65
450,"Wool, Brown",-13,7,65
451,"Wool, Brown",-13,8,65
452,"Wool, Brown",-13,9,65
453,"Wool, Brown",-13,10,65
454,"Wool, Brown",-13,11,65
455,"Wool, Brown",-13,12,65
456,"Wool, Brown",-13,13,65
457,"Wool, Brown",-13,14,65
458,"Wool, Brown",-13,4,66
459,"Wool, Brown",-13,5,66
460,"Wool, Brown",-13,6,66
461,"Wool, Brown",-13,7,66
462,"Wool, Brown",-13,8,66
463,"Wool, Brown",-13,9,66
464,"Wool, Brown",-13,10,66
465,"Wool, Brown",-13,11,66
466,"Wool, Brown",-13,12,66
467,"Wool, Brown",-13,13,66
468,"Wool, Brown",-13,14,66
469,"Wool, Brown",-13,3,67
470,"Wool, Brown",-13,4,67
471,"Wool, Brown",-13,5,67
472,"Wool, Brown",-13,6,67
473,"Wool, Brown",-13,7,67
474,"Wool, Brown",-13,8,67
475,"Wool, Brown",-13,9,67
476,"Wool, Brown",-13,10,67
477,"Wool, Brown",-13,11,67
478,"Wool, Brown",-13,12,67
479,"Wool, Brown",-13,13,67
480,"Wool, Brown",-13,14,67
481,"Wool, Brown",-13,15,67
482,"Wool, Brown",-13,3,68
483,"Wool, Brown",-13,4,68
484,"Wool, Brown",-13,5,68
485,"Wool, Brown",-13,6,68
486,"Wool, Brown",-13,7,68
487,"Wool, Brown",-13,8,68
488,"Wool, Brown",-13,9,68
489,"Wool, Brown",-13,10,68
490,"Wool, Brown",-13,11,68
491,"Wool, Brown",-13,12,68
492,"Wool, Brown",-13,13,68
493,"Wool, Brown",-13,14,68
494,"Wool, Brown",-13,15,68
495,"Wool, Brown",-13,3,69
496,"Wool, Brown",-13,4,69
497,"Wool, Brown",-13,5,69
498,"Wool, Brown",-13,6,69
499,"Wool, Brown",-13,7,69
500,"Wool, Brown",-13,8,69
501,"Wool, Brown",-13,9,69
502,"Wool, Brown",-13,10,69
503,"Wool, Brown",-13,11,69
504,"Wool, Brown",-13,12,69
505,"Wool, Brown",-13,13,69
506,"Wool, Brown",-13,14,69
507,"Wool, Brown",-13,15,69
508,"Wool, Brown",-13,3,70
509,"Wool, Brown",-13,4,70
510,"Wool, Brown",-13,5,70
511,"Wool, Brown",-13,6,70
512,"Wool, Brown",-13,7,70
513,"Wool, Brown",-13,8,70
514,"Wool, Brown",-13,9,70
515,"Wool, Brown",-13,10,70
516,"Wool, Brown",-13,11,70
517,"Wool, Brown",-13,12,70
518,"Wool, Brown",-13,13,70
519,"Wool, Brown",-13,14,70
520,"Wool, Brown",-13,15,70
521,"Wool, Brown",-13,4,71
522,"Wool, Brown",-13,5,71
523,"Wool, Brown",-13,6,71
524,"Wool, Brown",-13,7,71
525,"Wool, Brown",-13,8,71
526,"Wool, Brown",-13,9,71
527,"Wool, Brown",-13,10,71
528,"Wool, Brown",-13,11,71
529,"Wool, Brown",-13,12,71
530,"Wool, Brown",-13,13,71
531,"Wool, Brown",-13,14,71
532,"Wool, Brown",-13,6,72
533,"Wool, Brown",-13,7,72
534,"Wool, Brown",-13,8,72
535,"Wool, Brown",-13,9,72
536,"Wool, Brown",-13,10,72
537,"Wool, Brown",-13,11,72
538,"Wool, Brown",-13,12,72
539,"Wool, Brown",-12,9,56
540,"Wool, Brown",-12,9,57
541,"Wool, Brown",-12,8,58
542,"Wool, Brown",-12,9,58
543,"Wool, Brown",-12,10,58
544,"Wool, Brown",-12,6,59
545,"Wool, Brown",-12,7,59
546,"Wool, Brown",-12,8,59
547,"Wool, Brown",-12,9,59
548,"Wool, Brown",-12,10,59
549,"Wool, Brown",-12,11,59
550,"Wool, Brown",-12,5,60
551,"Wool, Brown",-12,6,60
552,"Wool, Brown",-12,7,60
553,"Wool, Brown",-12,8,60
554,"Wool, Brown",-12,9,60
555,"Wool, Brown",-12,10,60
556,"Wool, Brown",-12,11,60
557,"Wool, Brown",-12,12,60
558,"Wool, Brown",-12,5,61
559,"Wool, Brown",-12,6,61
560,"Wool, Brown",-12,7,61
561,"Wool, Brown",-12,8,61
562,"Wool, Brown",-12,9,61
563,"Wool, Brown",-12,10,61
564,"Wool, Brown",-12,11,61
565,"Wool, Brown",-12,12,61
566,"Wool, Brown",-12,13,61
567,"Wool, Brown",-12,5,62
568,"Wool, Brown",-12,6,62
569,"Wool, Brown",-12,7,62
570,"Wool, Brown",-12,8,62
571,"Wool, Brown",-12,9,62
572,"Wool, Brown",-12,10,62
573,"Wool, Brown",-12,11,62
574,"Wool, Brown",-12,12,62
575,"Wool, Brown",-12,13,62
576,"Wool, Brown",-12,4,63
577,"Wool, Brown",-12,5,63
578,"Wool, Brown",-12,6,63
579,"Wool, Brown",-12,7,63
580,"Wool, Brown",-12,8,63
581,"Wool, Brown",-12,9,63
582,"Wool, Brown",-12,10,63
583,"Wool, Brown",-12,11,63
584,"Wool, Brown",-12,12,63
585,"Wool, Brown",-12,13,63
586,"Wool, Brown",-12,14,63
587,"Wool, Brown",-12,4,64
588,"Wool, Brown",-12,5,64
589,"Wool, Brown",-12,6,64
590,"Wool, Brown",-12,7,64
591,"Wool, Brown",-12,8,64
592,"Wool, Brown",-12,9,64
593,"Wool, Brown",-12,10,64
594,"Wool, Brown",-12,11,64
595,"Wool, Brown",-12,12,64
596,"Wool, Brown",-12,13,64
597,"Wool, Brown",-12,14,64
598,"Wool, Brown",-12,4,65
599,"Wool, Brown",-12,5,65
600,"Wool, Brown",-12,6,65
601,"Wool, Brown",-12,7,65
602,"Wool, Brown",-12,8,65
603,"Wool, Brown",-12,9,65
604,"Wool, Brown",-12,10,65
605,"Wool, Brown",-12,11,65
606,"Wool, Brown",-12,12,65
607,"Wool, Brown",-12,13,65
608,"Wool, Brown",-12,14,65
609,"Wool, Brown",-12,3,66
610,"Wool, Brown",-12,4,66
611,"Wool, Brown",-12,5,66
612,"Wool, Brown",-12,6,66
613,"Wool, Brown",-12,7,66
614,"Wool, Brown",-12,8,66
615,"Wool, Brown",-12,9,66
616,"Wool, Brown",-12,10,66
617,"Wool, Brown",-12,11,66
618,"Wool, Brown",-12,12,66
619,"Wool, Brown",-12,13,66
620,"Wool, Brown",-12,14,66
621,"Wool, Brown",-12,15,66
622,"Wool, Brown",-12,3,67
623,"Wool, Brown",-12,4,67
624,"Wool, Brown",-12,5,67
625,"Wool, Brown",-12,6,67
626,"Wool, Brown",-12,7,67
627,"Wool, Brown",-12,8,67
628,"Wool, Brown",-12,9,67
629,"Wool, Brown",-12,10,67
630,"Wool, Brown",-12,11,67
631,"Wool, Brown",-12,12,67
632,"Wool, Brown",-12,13,67
633,"Wool, Brown",-12,14,67
634,"Wool, Brown",-12,15,67
635,"Wool, Brown",-12,2,68
636,"Wool, Brown",-12,3,68
637,"Wool, Brown",-12,4,68
638,"Wool, Brown",-12,5,68
639,"Wool, Brown",-12,6,68
640,"Wool, Brown",-12,7,68
641,"Wool, Brown",-12,8,68
642,"Wool, Brown",-12,9,68
643,"Wool, Brown",-12,10,68
644,"Wool, Brown",-12,11,68
645,"Wool, Brown",-12,12,68
646,"Wool, Brown",-12,13,68
647,"Wool, Brown",-12,14,68
648,"Wool, Brown",-12,15,68
649,"Wool, Brown",-12,2,69
650,"Wool, Brown",-12,3,69
651,"Wool, Brown",-12,4,69
652,"Wool, Brown",-12,5,69
653,"Wool, Brown",-12,6,69
654,"Wool, Brown",-12,7,69
655,"Wool, Brown",-12,8,69
656,"Wool, Brown",-12,9,69
657,"Wool, Brown",-12,10,69
658,"Wool, Brown",-12,11,69
659,"Wool, Brown",-12,12,69
660,"Wool, Brown",-12,13,69
661,"Wool, Brown",-12,14,69
662,"Wool, Brown",-12,15,69
663,"Wool, Brown",-12,3,70
664,"Wool, Brown",-12,4,70
665,"Wool, Brown",-12,5,70
666,"Wool, Brown",-12,6,70
667,"Wool, Brown",-12,7,70
668,"Wool, Brown",-12,8,70
669,"Wool, Brown",-12,9,70
670,"Wool, Brown",-12,10,70
671,"Wool, Brown",-12,11,70
672,"Wool, Brown",-12,12,70
673,"Wool, Brown",-12,13,70
674,"Wool, Brown",-12,14,70
675,"Wool, Brown",-12,15,70
676,"Wool, Brown",-12,4,71
677,"Wool, Brown",-12,5,71
678,"Wool, Brown",-12,6,71
679,"Wool, Brown",-12,7,71
680,"Wool, Brown",-12,8,71
681,"Wool, Brown",-12,9,71
682,"Wool, Brown",-12,10,71
683,"Wool, Brown",-12,11,71
684,"Wool, Brown",-12,12,71
685,"Wool, Brown",-12,13,71
686,"Wool, Brown",-12,14,71
687,"Wool, Brown",-12,5,72
688,"Wool, Brown",-12,6,72
689,"Wool, Brown",-12,7,72
690,"Wool, Brown",-12,8,72
691,"Wool, Brown",-12,9,72
692,"Wool, Brown",-12,10,72
693,"Wool, Brown",-12,11,72
694,"Wool, Brown",-12,12,72
695,"Wool, Brown",-12,7,73
696,"Wool, Brown",-12,8,73
697,"Wool, Brown",-12,9,73
698,"Wool, Brown",-12,10,73
699,"Wool, Brown",-12,11,73
700,"Wool, Brown",-11,9,52
701,"Wool, Brown",-11,8,53
702,"Wool, Brown",-11,9,53
703,"Wool, Brown",-11,8,54
704,"Wool, Brown",-11,9,54
705,"Wool, Brown",-11,10,54
706,"Wool, Brown",-11,7,55
707,"Wool, Brown",-11,8,55
708,"Wool, Brown",-11,9,55
709,"Wool, Brown",-11,10,55
710,"Wool, Brown",-11,11,55
711,"Wool, Brown",-11,7,56
712,"Wool, Brown",-11,8,56
713,"Wool, Brown",-11,9,56
714,"Wool, Brown",-11,10,56
715,"Wool, Brown",-11,11,56
716,"Wool, Brown",-11,7,57
717,"Wool, Brown",-11,8,57
718,"Wool, Brown",-11,9,57
719,"Wool, Brown",-11,10,57
720,"Wool, Brown",-11,11,57
721,"Wool, Brown",-11,12,57
722,"Wool, Brown",-11,6,58
723,"Wool, Brown",-11,7,58
724,"Wool, Brown",-11,8,58
725,"Wool, Brown",-11,9,58
726,"Wool, Brown",-11,10,58
727,"Wool, Brown",-11,11,58
728,"Wool, Brown",-11,12,58
729,"Wool, Brown",-11,5,59
730,"Wool, Brown",-11,6,59
731,"Wool, Brown",-11,7,59
732,"Wool, Brown",-11,8,59
733,"Wool, Brown",-11,9,59
734,"Wool, Brown",-11,10,59
735,"Wool, Brown",-11,11,59
736,"Wool, Brown",-11,12,59
737,"Wool, Brown",-11,5,60
738,"Wool, Brown",-11,6,60
739,"Wool, Brown",-11,7,60
740,"Wool, Brown",-11,8,60
741,"Wool, Brown",-11,9,60
742,"Wool, Brown",-11,10,60
743,"Wool, Brown",-11,11,60
744,"Wool, Brown",-11,12,60
745,"Wool, Brown",-11,13,60
746,"Wool, Brown",-11,5,61
747,"Wool, Brown",-11,6,61
748,"Wool, Brown",-11,7,61
749,"Wool, Brown",-11,8,61
750,"Wool, Brown",-11,9,61
751,"Wool, Brown",-11,10,61
752,"Wool, Brown",-11,11,61
753,"Wool, Brown",-11,12,61
754,"Wool, Brown",-11,13,61
755,"Wool, Brown",-11,4,62
756,"Wool, Brown",-11,5,62
757,"Wool, Brown",-11,6,62
758,"Wool, Brown",-11,7,62
759,"Wool, Brown",-11,8,62
760,"Wool, Brown",-11,9,62
761,"Wool, Brown",-11,10,62
762,"Wool, Brown",-11,11,62
763,"Wool, Brown",-11,12,62
764,"Wool, Brown",-11,13,62
765,"Wool, Brown",-11,14,62
766,"Wool, Brown",-11,4,63
767,"Wool, Brown",-11,5,63
768,"Wool, Brown",-11,6,63
769,"Wool, Brown",-11,7,63
770,"Wool, Brown",-11,8,63
771,"Wool, Brown",-11,9,63
772,"Wool, Brown",-11,10,63
773,"Wool, Brown",-11,11,63
